Name,Description,Unlock,In Game Secret Number,link
Forget Me Now,Unlocked a new item.,Defeat Satan as ???,48,/wiki/Forget_Me_Now
The D20,Unlocked a new item.,Defeat ??? as Isaac,49,/wiki/D20
Celtic Cross,Unlocked a new item.,Defeat ??? as Magdalene,50,/wiki/Celtic_Cross
Abel,Unlocked a new item.,Defeat The Lamb as Cain,51,/wiki/Abel
Curved Horn,Unlocked a new item.,Defeat The Lamb as Judas,52,/wiki/Curved_Horn
Sacrificial Dagger,Unlocked a new item.,Defeat ??? as Eve,53,/wiki/Sacrificial_Dagger
Bloody Lust,Unlocked a new item.,Defeat Isaac as Samson,54,/wiki/Bloody_Lust
Blood Penny,Unlocked a new item.,Defeat ??? as Samson,55,/wiki/Bloody_Penny
Blood Rights,Unlocked a new item.,Defeat Satan as Samson,56,/wiki/Blood_Rights
The Polaroid,Unlocked a new item.,Defeat Isaac 5 times,57,/wiki/The_Polaroid
Dad's Key,Unlocked a new item.,Pick up both Key Pieces from the Angels in one run,58,/wiki/Dad%27s_Key
Blue Candle,Unlocked a new item.,Donate 900 coins to the Donation Machine,59,/wiki/The_Candle
Burnt Penny,Unlocked a new item.,Complete Beans! (challenge #13),60,/wiki/Burnt_Penny
Lucky Toe,Unlocked a new item.,Blow up 20 Shopkeepers,61,/wiki/Lucky_Toe
Epic Fetus,Unlocked a new item.,Complete The Family Man (challenge #19),62,/wiki/Epic_Fetus
SMB Super Fan,Unlocked a new item.,Complete It's in the Cards (challenge #14),63,/wiki/SMB_Super_Fan
Counterfeit Coin,Unlocked a new item.,Play either Shell Game or Hell Game 100 times,64,/wiki/Counterfeit_Penny
Guppy's Hairball,Unlocked a new item.,Become Guppy,65,/wiki/Guppy%27s_Hair_Ball
A Forgotten Horseman,Unlocked a new boss!,Take 10 Angel Room items,66,/wiki/Conquest
Samson,Unlocked a new character.,Complete 2 floors in a row without taking damage,67,/wiki/Samson
Something Icky,New boss in the womb!,Defeat Isaac 10 times,68,/wiki/Triachnid
!Platinum God!,OMG!,"Collect all non-DLC items in the game, and unlock all of the secrets and endings (minus The Lost and his 6 unlockable items)",69,/wiki/Isaac%27s_Head
Isaac's Head,Unlocked a new item.,Complete the Boss Rush as Isaac,70,
Maggy's Faith,Unlocked a new item.,Defeat The Lamb as Magdalene,71,/wiki/Maggy%27s_Faith
Judas' Tongue,Unlocked a new item.,Defeat Satan as Judas,72,/wiki/Judas%27_Tongue
???'s Soul,Unlocked a new item.,Defeat The Lamb as ???,73,/wiki/%3F%3F%3F%27s_Soul
Samson's Lock,Unlocked a new item.,Defeat The Lamb as Samson,74,/wiki/Samson%27s_Lock
Cain's Eye,Unlocked a new item.,Defeat ??? as Cain,75,/wiki/Cain%27s_Eye
Eve's Bird Foot,Unlocked a new item.,Defeat Isaac as Eve,76,/wiki/Eve%27s_Bird_Foot
The Left Hand,Unlocked a new item.,"Defeat Ultra Pride as any character, or ??? as Judas",77,/wiki/The_Left_Hand
The Negative,Unlocked a new item.,Defeat Satan 5 times,78,/wiki/The_Negative
Azazel,Unlocked a new character.,Make 3 Deals with the Devil in one run,79,/wiki/Azazel
Lazarus,Unlocked a new character.,Have 4 or more Soul Hearts at one time,80,/wiki/Lazarus
Eden,Unlocked a new character.,Complete Chapter 4,81,/wiki/Eden
The Lost,Unlocked a new character.,"It's complicated
 Die in a Sacrifice Room while holding Missing Poster",82,/wiki/The_Lost
Dead Boy,Beat Chest or Dark Room without taking damage.,Complete Chapter 6 without taking damage,83,/wiki/Lucky_Rock
The Real Platinum God,111% now stop playing!,"Collect every non-DLC item, and unlock every secret and ending.",84,
Lucky Rock,Destroy 100 rocks.,Destroy 100 rocks,85,
The Cellar,Alt stage to the basement.,Beat all Basement bosses ( except Baby Plum) (not restricted to beating bosses in The Basement),86,/wiki/The_Cellar
The Catacombs,Alt stage to the caves.,Beat all Caves bosses ( except Bumbino) (not restricted to beating bosses in The Caves),87,/wiki/The_Catacombs
The Necropolis,Alt stage to the depths.,Beat all Depths bosses ( except Reap Creep) (not restricted to beating bosses in The Depths),88,/wiki/Necropolis
Rune of Hagalaz,Unlocked a new item.,Complete Pitch Black (challenge #1),89,/wiki/Runes
Rune of Jera,Unlocked a new item.,Complete High Brow (challenge #2),90,/wiki/Runes
Rune of Ehwaz,Unlocked a new item.,Complete Head Trauma (challenge #3),91,/wiki/Runes
Rune of Dagaz,Unlocked a new item.,Complete Darkness Falls (challenge #4),92,/wiki/Runes
Rune of Ansuz,Unlocked a new item.,Complete The Tank (challenge #5),93,/wiki/Runes
Rune of Perthro,Unlocked a new item.,Complete Solar System (challenge #6),94,/wiki/Runes
Rune of Berkano,Unlocked a new item.,Complete Purist (challenge #20),95,/wiki/Runes
Rune of Algiz,Unlocked a new item.,Complete Cat Got Your Tongue (challenge #8),96,/wiki/Runes
Chaos Card,Unlocked a new item.,Complete Demo Man (challenge #9),97,/wiki/Chaos_Card
Credit Card,Unlocked a new item.,Complete Cursed! (challenge #10),98,/wiki/Credit_Card
Rules Card,Unlocked a new item.,Complete Glass Cannon (challenge #11),99,/wiki/Rules_Card
Card Against Humanity,Unlocked a new item.,Complete When Life Gives You Lemons (challenge #12),100,/wiki/A_Card_Against_Humanity
Swallowed Penny,Unlocked a new item.,Complete Slow Roll (challenge #15),101,/wiki/Swallowed_Penny
Robo-Baby 2.0,Unlocked a new item.,Complete Computer Savvy (challenge #16),102,/wiki/Robo-Baby_2.0
Death's Touch,Unlocked a new item.,Complete Waka Waka (challenge #17),103,/wiki/Death%27s_Touch
Technology .5,Unlocked a new item.,Complete The Host (challenge #18),104,/wiki/Tech.5
Missing No.,Unlocked a new item.,Complete the Boss Rush as Lazarus,105,/wiki/Missing_No.
Isaac's Tears,Unlocked a new item.,Defeat Isaac as Isaac,106,/wiki/Isaac%27s_Tears
Guillotine,Unlocked a new item.,Defeat Isaac as Judas,107,/wiki/Guillotine
Judas' Shadow,Unlocked a new item.,Complete the Boss Rush as Judas,108,/wiki/Judas%27_Shadow
Maggy's Bow,Unlocked a new item.,Complete the Boss Rush as Magdalene,109,/wiki/Maggy%27s_Bow
Cain's Other Eye,Unlocked a new item.,Complete the Boss Rush as Cain,110,/wiki/Cain%27s_Other_Eye
Black Lipstick,Unlocked a new item.,Defeat The Lamb as Eve,111,/wiki/Black_Lipstick
Eve's Mascara,Unlocked a new item.,Complete the Boss Rush as Eve,112,/wiki/Eve%27s_Mascara
Fate,Unlocked a new item.,Defeat ??? as ???,113,/wiki/Fate
???'s Only Friend,Unlocked a new item.,Complete the Boss Rush as ???,114,/wiki/%3F%3F%3F%27s_Only_Friend
Samson's Chains,Unlocked a new item.,Complete the Boss Rush as Samson,115,/wiki/Samson%27s_Chains
Lazarus' Rags,Unlocked a new item.,Defeat Isaac as Lazarus,116,/wiki/Lazarus%27_Rags
Broken Ankh,Unlocked a new item.,Defeat Satan as Lazarus,117,/wiki/Broken_Ankh
Store Credit,Unlocked a new item.,Defeat ??? as Lazarus,118,/wiki/Store_Credit
Pandora's Box,Unlocked a new item.,Defeat The Lamb as Lazarus,119,/wiki/Pandora%27s_Box
Suicide King,Unlocked a new item.,Complete Suicide King (challenge #7),120,/wiki/Suicide_King
Blank Card,Unlocked a new item.,Defeat Isaac as Eden,121,/wiki/Blank_Card
Book of Secrets,Unlocked a new item.,Defeat Satan as Eden,122,/wiki/Book_of_Secrets
Mysterious Paper,Unlocked a new item.,Defeat ??? as Eden,123,/wiki/Mysterious_Paper
Mystery Sack,Unlocked a new item.,Defeat The Lamb as Eden,124,/wiki/Mystery_Sack
Undefined,Unlocked a new item.,Complete the Boss Rush as Eden,125,/wiki/Undefined
Satanic Bible,Unlocked a new item.,Defeat Isaac as Azazel,126,/wiki/Satanic_Bible
Daemon's Tail,Unlocked a new item.,Defeat Satan as Azazel,127,/wiki/Daemon%27s_Tail
Abaddon,Unlocked a new item.,Defeat ??? as Azazel,128,/wiki/Abaddon
Isaac's Heart,Unlocked a new item.,Defeat Isaac as The Lost,129,/wiki/Isaac%27s_Heart
The Mind,Unlocked a new item.,Defeat Satan as The Lost,130,/wiki/The_Mind
The Body,Unlocked a new item.,Defeat ??? as The Lost,131,/wiki/The_Body
The Soul,Unlocked a new item.,Defeat The Lamb as The Lost,132,/wiki/The_Soul
The D100,Unlocked a new item.,Complete the Boss Rush as The Lost,133,/wiki/D100
Blue Map,Unlocked a new item.,Donate 10 Coins to the Donation Machine,134,/wiki/Blue_Map
There's Options,Unlocked a new item.,Donate 50 Coins to the Donation Machine,135,/wiki/There%27s_Options
Black Candle,Unlocked a new item,Donate 150 Coins to the Donation Machine,136,/wiki/Black_Candle
Red Candle,Unlocked a new item.,Donate 400 Coins to the Donation Machine,137,/wiki/Red_Candle
Stop Watch,Unlocked a new item,Donate 999 Coins to the Donation Machine,138,/wiki/Stop_Watch
Wire Coat Hanger,Unlocked a new item.,Defeat Mom's Heart 4 times,139,/wiki/Wire_Coat_Hanger
Ipecac,Unlocked a new item.,Defeat Mom's Heart 6 times,140,/wiki/Ipecac
Experimental Treatment,Unlocked a new item.,Defeat Mom's Heart 7 times,141,/wiki/Experimental_Treatment
Krampus,Unlocked another miniboss!,Take 20 items from Devil Rooms,142,/wiki/Krampus
Head of Krampus,Unlocked a new item.,Defeat Krampus,143,/wiki/Head_of_Krampus
Super Meat Boy,Built him out of meat cubes.,Make a Super Meat Boy by picking up 4 copies of Cube of Meat in one run; see Unlocking Super Meat Boy & Super Bandage Girl,144,/wiki/Cube_of_Meat
Butter Bean,Unlocked a new item.,Destroy 100 Poops,145,/wiki/Butter_Bean
Little Baggy,Unlocked a new item.,"Pick up any 2 of the following items in a single run: Roid Rage, The Virus, Growth Hormones, Experimental Treatment, and Speed Ball ( Any 2 items that have the 'syringe' item tag)",146,/wiki/Little_Baggy
Blood Bag,Unlocked a new item.,Use the Blood Donation Machine 30 times,147,/wiki/Blood_Bag
The D4,Unlocked a new item.,Blow up 30 Slot Machine,148,/wiki/D4
Missing Poster,Unlocked a new item.,Defeat The Lamb as Isaac,149,/wiki/Missing_Poster
Rubber Cement,Unlocked a new item.,Defeat Mom's Heart 2 times,150,/wiki/Rubber_Cement
Store Upgrade lv.1,Donated 20 pennies to the shop.,Donate 20 Coins to the Donation Machine,151,/wiki/Shop#Levels
Store Upgrade lv.2,Donated 100 pennies to the shop.,Donate 100 Coins to the Donation Machine,152,/wiki/Shop#Levels
Store Upgrade lv.3,Donated 200 pennies to the shop.,Donate 200 Coins to the Donation Machine,153,/wiki/Shop#Levels
Store Upgrade lv.4,Donated 600 pennies to the shop.,Donate 600 Coins to the Donation Machine,154,/wiki/Shop#Levels
Angels,They are waiting.,Complete Chapter 6,155,/wiki/Angel
Godhead,Unlocked a new item.,Earn all 5 / 9 (except Ultra Greed) / 10 / 12 Completion Marks on Hard mode as The Lost,156,/wiki/Godhead
Darkness Falls,Unlocked Challenge #4.,"Defeat Mom's Heart 11 times
 Defeat Satan and ??? as Eve",157,/wiki/Darkness_Falls
The Tank,Unlocked Challenge #5.,Have 7 or more Red Heart Containers at one time,158,/wiki/The_Tank
Solar System,Unlocked Challenge #6.,Defeat Mom's Heart 3 times,159,/wiki/Solar_System
Suicide King,Unlocked Challenge #7.,Defeat Mom's Heart 11 times,160,/wiki/Suicide_King_(Challenge)
Cat Got Your Tongue,Unlocked Challenge #8.,Become Guppy,161,/wiki/Cat_Got_Your_Tongue
Demo Man,Unlocked Challenge #9.,Defeat Mom's Heart 9 times,162,/wiki/Demo_Man
Cursed!,Unlocked Challenge #10.,Have 7 or more Red Heart Containers at one time,163,/wiki/Cursed!
Glass Cannon,Unlocked Challenge #11.,Beat The Family Man (challenge #19) and defeat Lokii,164,/wiki/Glass_Cannon_(Challenge)
The Family Man,Unlocked Challenge #19.,Pick up both Key Pieces from the Angels in one run,165,/wiki/The_Family_Man
Purist,Unlocked Challenge #20.,Defeat Mom,166,/wiki/Purist
Lost Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Isaac,167,/wiki/Babies
Cute Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Magdalene,168,/wiki/Babies
Crow Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Eve,169,/wiki/Babies
Shadow Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Judas,170,/wiki/Babies
Glass Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Cain,171,/wiki/Babies
Wrapped Baby,Unlocked a new co-player baby.,"Defeat Mom's Heart on Hard mode as Azazel
 Defeat Mom's Heart on Hard mode as Lazarus",172,/wiki/Babies
Begotten Baby,Unlocked a new co-player baby.,"Defeat Mom's Heart on Hard mode as Lazarus
 Defeat Mom's Heart on Hard mode as Azazel",173,/wiki/Babies
Dead Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as ???,174,/wiki/Babies
-0- Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as The Lost,175,/wiki/Babies
Glitch Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Eden,176,/wiki/Babies
Fighting Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Samson,177,/wiki/Babies
Lord of the Flies,You became Lord of the Flies.,Become Beelzebub,178,/wiki/Beelzebub
Fart Baby,Unlocked a new item.,Defeat Hush as Isaac,179,/wiki/Farting_Baby
Purity,Unlocked a new item.,Defeat Hush as Magdalene,180,/wiki/Purity
D12,Unlocked a new item.,Defeat Hush as Cain,181,/wiki/D12
Betrayal,Unlocked a new item.,Defeat Hush as Judas,182,/wiki/Betrayal
Fate's Reward,Unlocked a new item.,Defeat Hush as ???,183,/wiki/Fate%27s_Reward
Athame,Unlocked a new item.,Defeat Hush as Eve,184,/wiki/Athame
Blind Rage,Unlocked a new item.,Defeat Hush as Samson,185,/wiki/Blind_Rage
Maw of the Void,Unlocked a new item.,Defeat Hush as Azazel,186,/wiki/Maw_of_the_Void
Empty Vessel,Unlocked a new item.,Defeat Hush as Lazarus,187,/wiki/Empty_Vessel
Eden's Blessing,Unlocked a new item.,Defeat Hush as Eden,188,/wiki/Eden%27s_Blessing
Sworn Protector,Unlocked a new item.,Defeat Hush as The Lost,189,/wiki/Sworn_Protector
Incubus,Unlocked a new item.,Defeat Hush as Lilith,190,/wiki/Incubus
Keeper now holds... A Penny!,Unlocked a new item.,Defeat Hush as Keeper,191,/wiki/Keeper
Lil' Chest,Unlocked a new item.,Defeat Ultra Greed as Isaac,192,/wiki/Lil_Chest
Censer,Unlocked a new item.,Defeat Ultra Greed as Magdalene,193,/wiki/Censer
Evil Eye,Unlocked a new item.,Defeat Ultra Greed as Cain,194,/wiki/Evil_Eye
My Shadow,Unlocked a new item.,Defeat Ultra Greed as Judas,195,/wiki/My_Shadow
Cracked Dice,Unlocked a new item.,Defeat Ultra Greed as ???,196,/wiki/Cracked_Dice
Black Feather,Unlocked a new item.,Defeat Ultra Greed as Eve,197,/wiki/Black_Feather
Lusty Blood,Unlocked a new item.,Defeat Ultra Greed as Samson,198,/wiki/Lusty_Blood
Lilith,Unlocked a new character.,Defeat Ultra Greed as Azazel,199,/wiki/Lilith
Key Bum,Unlocked a new item.,Defeat Ultra Greed as Lazarus,200,/wiki/Key_Bum
GB Bug,Unlocked a new item.,Defeat Ultra Greed as Eden,201,/wiki/GB_Bug
Zodiac,Unlocked a new item.,Defeat Ultra Greed as The Lost,202,/wiki/Zodiac
Box of Friends,Unlocked a new item.,Defeat Ultra Greed as Lilith,203,/wiki/Box_of_Friends
Rib of Greed,Unlocked a new item.,Defeat Ultra Greed as Keeper,204,/wiki/Rib_of_Greed
Cry Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Isaac,205,/wiki/Babies
Red Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Magdalene,206,/wiki/Babies
Green Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Cain,207,/wiki/Babies
Brown Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Judas,208,/wiki/Babies
Blue Baby,Unlocked a new co-player baby.,Defeat Mega Satan as ???,209,/wiki/Babies
Lil' Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Eve,210,/wiki/Babies
Rage Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Samson,211,/wiki/Babies
Black Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Azazel,212,/wiki/Babies
Long Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Lazarus,213,/wiki/Babies
Yellow Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Eden,214,/wiki/Babies
White Baby,Unlocked a new co-player baby.,Defeat Mega Satan as The Lost,215,/wiki/Babies
Big Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Lilith,216,/wiki/Babies
Noose Baby,Unlocked a new co-player baby.,Defeat Mega Satan as Keeper,217,/wiki/Babies
Rune Bag,Unlocked a new item.,Defeat Isaac as Lilith,218,/wiki/Rune_Bag
Cambion Conception,Unlocked a new item.,Defeat ??? as Lilith,219,/wiki/Cambion_Conception
Serpent's Kiss,Unlocked a new item.,Defeat Satan as Lilith,220,/wiki/Serpent%27s_Kiss
Succubus,Unlocked a new item.,Defeat The Lamb as Lilith,221,/wiki/Succubus
Immaculate Conception,Unlocked a new item.,Complete the Boss Rush as Lilith,222,/wiki/Immaculate_Conception
Goat Head Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Lilith,223,/wiki/Babies
Gold Heart,Unlocked a new item.,Complete XXXXXXXXL (challenge #21),224,/wiki/Hearts_(Pickup)
Get out of Jail Free Card,Unlocked a new item.,Complete SPEED! (challenge #22),225,/wiki/Get_out_of_Jail_Free_Card
Gold Bomb,Unlocked a new item.,Complete Blue Bomber (challenge #23),226,/wiki/Gold_Bomb
2 new pills,Unlocked a new item.,Complete PAY TO PLAY (challenge #24),227,/wiki/Percs!
2 new pills,Unlocked a new item.,Complete Have a Heart (challenge #25),228,/wiki/Re-Lax
Poker Chip,Unlocked a new item.,Complete I RULE! (challenge #26),229,/wiki/Poker_Chip
Stud Finder,Unlocked a new item.,Complete BRAINS! (challenge #27),230,/wiki/Stud_Finder
D8,Unlocked a new item.,Complete PRIDE DAY! (challenge #28),231,/wiki/D8
Kidney Stone,Unlocked a new item.,"Complete The Guardian (challenge #30)
 Complete Onan's Streak (challenge #29)",232,/wiki/Kidney_Stone
Blank Rune,Unlocked a new item.,"Complete Onan's Streak (challenge #29)
 Complete The Guardian (challenge #30)",233,/wiki/Blank_Rune_(Achievement)
Blue Womb,Unlocked a hidden chapter.,Defeat Mom's Heart 10 times,234,/wiki/Blue_Womb
1001%,Nerd x 1000000,"Unlock all secrets and endings, and collect every item in the game",235,/wiki/Keeper
Keeper holds Wooden Nickel,Unlocked a new starting item.,Defeat Isaac as Keeper,236,
Keeper holds Store Key,Unlocked a new starting item.,Defeat Satan as Keeper,237,/wiki/Keeper
Deep Pockets,Unlocked a new item.,Defeat ??? as Keeper,238,/wiki/Deep_Pockets
Karma,Unlocked a new item.,Defeat The Lamb as Keeper,239,/wiki/Karma
Sticky Nickels,Unlocked a new item.,Complete the Boss Rush as Keeper,240,/wiki/Sticky_nickel
Super Greed Baby,Unlocked a new co-player baby.,Defeat Mom's Heart on Hard mode as Keeper,241,/wiki/Babies
Lucky Pennies,Unlocked a new item.,Donate 1 Coin to the Greed Donation Machine,242,/wiki/Lucky_penny
Special Hanging Shopkeepers,Unlocked a secret.,Donate 10 Coins to the Greed Donation Machine,243,/wiki/Special_shopkeeper
Wooden Nickel,Unlocked a new item.,Donate 30 Coins to the Greed Donation Machine,244,/wiki/Wooden_Nickel
Cain holds Paperclip,Unlocked a new starting item.,Donate 68 Coins to the Greed Donation Machine,245,/wiki/Cain
Everything is Terrible 2!!!,Greed just got harder!,Donate 111 Coins to the Greed Donation Machine,246,/wiki/Ultra_Greed
Special Shopkeepers,Unlocked a secret.,Donate 234 Coins to the Greed Donation Machine,247,/wiki/Special_shopkeeper
Eve now holds Razor Blade,Unlocked a new starting item.,Donate 439 Coins to the Greed Donation Machine,248,/wiki/Eve
Store Key,Unlocked a new item.,Donate 666 Coins to the Greed Donation Machine,249,/wiki/Store_Key
Lost holds Holy Mantle,Unlocked a new starting item.,Donate 879 Coins to the Greed Donation Machine,250,/wiki/The_Lost
Keeper,Unlocked a new character.,Donate 1000 Coins to the Greed Donation Machine,251,/wiki/Keeper
Hive Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as ???,252,/wiki/Babies
Buddy Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Isaac,253,/wiki/Babies
Colorful Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Magdalene,254,/wiki/Babies
Whore Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Eve,255,/wiki/Babies
Cracked Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Eden,256,/wiki/Babies
Dripping Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Lazarus,257,/wiki/Babies
Blinding Baby,Unlocked a new co-player baby.,Use Blank Card while holding XIX - The Sun,258,/wiki/Babies
Sucky Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Azazel,259,/wiki/Babies
Dark Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Lilith,260,/wiki/Babies
Picky Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Cain,261,/wiki/Babies
Revenge Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Samson,262,/wiki/Babies
Belial Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Judas,263,/wiki/Babies
Sale Baby,Unlocked a new co-player baby.,Earn all Hard mode Completion Marks as Keeper,264,/wiki/Babies
XXXXXXXXL,Unlocked Challenge #21.,Defeat Mom,265,/wiki/XXXXXXXXL
SPEED!,Unlocked Challenge #22.,Defeat Mom,266,/wiki/SPEED!
Blue Bomber,Unlocked Challenge #23.,Destroy 10 Tinted Rocks and defeat Mom's Heart 11 times,267,/wiki/Blue_Bomber
PAY TO PLAY,Unlocked Challenge #24.,Defeat Isaac as Cain,268,/wiki/PAY_TO_PLAY
Have a Heart,Unlocked Challenge #25.,Defeat Mom,269,/wiki/Have_a_Heart
I RULE!,Unlocked Challenge #26.,"Defeat ??? or The Lamb, and defeat Satan as Isaac
 Defeat Mega Satan",270,/wiki/I_RULE!
BRAINS!,Unlocked Challenge #27.,Defeat Isaac 5 times,271,/wiki/BRAINS!
PRIDE DAY!,Unlocked Challenge #28.,Defeat Mom,272,/wiki/PRIDE_DAY!
Onan's Streak,Unlocked Challenge #29.,"Defeat Mom
 Unlock Judas and It Lives.",273,/wiki/Onan%27s_Streak
The Guardian,Unlocked Challenge #30.,Defeat Mom,274,/wiki/The_Guardian
Generosity,If only everyone was as generous as you are...,Donate 999 Coins to the Greed Donation Machine,275,/wiki/Greed_machine
Mega,Unlocked...,Defeat Mega Satan as every character ( except Tainted characters),276,/wiki/Mega_Blast
Backasswards,Unlocked a new challenge.,"Defeat ??? or The Lamb
 Defeat Mega Satan",277,/wiki/Backasswards
Aprils fool,Unlocked a new challenge.,Defeat Mom,278,/wiki/Aprils_Fool
Pokey Mans,Unlocked a new challenge.,Defeat Mom's Heart 11 times,279,/wiki/Pokey_Mans
